Chautauqua,KS,251,3,
Cherokee,KS,2333,16,
Cheyenne,KS,344,10,
Clark,KS,235,4,
Clay,KS,773,24,
Cloud,KS,960,2,
Coffey,KS,701,13,
Comanche,KS,155,9,
Cowley,KS,3764,9,
Crawford,KS,4466,77,
Decatur,KS,258,1,
Dickinson,KS,1680,35,
Doniphan,KS,929,7,
Douglas,KS,8548,71,
Edwards,KS,262,0,
Elk,KS,167,0,
Ellis,KS,3642,61,
Ellsworth,KS,1203,4,
Finney,KS,5971,48,
Ford,KS,5543,10,
Franklin,KS,2415,20,
Geary,KS,2947,24,
Gove,KS,376,22,
Graham,KS,247,2,
Grant,KS,964,17,
Gray,KS,600,12,
Greeley,KS,101,0,
Greenwood,KS,570,2,
Hamilton,KS,199,0,
Harper,KS,601,17,
Harvey,KS,3365,56,
Haskell,KS,407,1,
Hodgeman,KS,193,6,
Jackson,KS,1327,11,
Jefferson,KS,1603,30,
Jewell,KS,198,3,
Johnson,KS,53652,627,
Kearny,KS,555,9,
Kingman,KS,720,11,
KIA,KS,266,5,
Labette,KS,2572,44,
Lane,KS,141,5,
Leavenworth,KS,6680,49,
Lincoln,KS,254,4,
Linn,KS,749,12,
Logan,KS,291,0,
Lyon,KS,4032,75,
Marion,KS,1011,16,
Marshall,KS,1070,23,
McPherson,KS,3113,78,
Meade,KS,486,7,
Miami,KS,2592,25,
Mitchell,KS,557,0,
Montgomery,KS,3218,6,
Morris,KS,581,17,
Morton,KS,252,9,
Nemaha,KS,1459,50,
Neosho,KS,1708,18,
Ness,KS,364,15,
Norton,KS,1214,27,
Osage,KS,1175,11,
Osborne,KS,286,0,
Ottawa,KS,548,0,
Pawnee,KS,1131,14,
Phillips,KS,688,18,
Pottawatomie,KS,1728,24,
Pratt,KS,801,23,
Rawlins,KS,348,7,
Reno,KS,8245,126,
Republic,KS,676,14,
Rice,KS,1047,1,
Riley,KS,6158,33,
Rooks,KS,620,10,
Rush,KS,424,0,
Russell,KS,832,23,
Saline,KS,5901,104,
Scott,KS,599,16,
Sedgwick,KS,53047,483,
Seward,KS,3862,29,
Shawnee,KS,16181,331,
Sheridan,KS,426,0,
Sherman,KS,603,7,
Smith,KS,271,2,
Stafford,KS,341,9,
Stanton,KS,181,2,
Stevens,KS,580,7,
Sumner,KS,2059,27,
Thomas,KS,1094,13,
Trego,KS,403,3,
Wabaunsee,KS,646,13,
Wallace,KS,175,0,
Washington,KS,522,9,
Wichita,KS,215,0,
Wilson,KS,920,12,
Woodson,KS,194,0,
Wyandotte,KS,18935,263,
Adair,KY,1642,49,
Allen,KY,1780,22,
Anderson,KY,1589,16,
Ballard,KY,339,5,
Barren,KY,3941,69,
Bath,KY,739,16,
Bell,KY,2643,33,
Boone,KY,12628,72,
Bourbon,KY,1515,12,
Boyd,KY,4555,43,
